Old URL,Existing page status Code,New URL
https://quickstarts.snowflake.com/guide/transform_your_data_with_coalesce/#0,200,www.snowflake.com/en/developers/guides/transform-your-data-with-coalesce
https://quickstarts.snowflake.com/guide/train-an-xgboost-model-with-gpus-using-snowflake-notebooks/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/train-an-xgboost-model-with-gpus-using-snowflake-notebooks
https://quickstarts.snowflake.com/guide/train-an-xgboost-model-with-gpus-using-snowflake-notebooks/index.html,200,www.snowflake.com/en/developers/guides/train-an-xgboost-model-with-gpus-using-snowflake-notebooks
https://quickstarts.snowflake.com/guide/train-an-xgboost-model-with-gpus-using-snowflake-notebooks/#0,200,www.snowflake.com/en/developers/guides/train-an-xgboost-model-with-gpus-using-snowflake-notebooks
https://quickstarts.snowflake.com/guide/train-an-xgboost-model-with-gpus-using-snowflake-notebooks,301,www.snowflake.com/en/developers/guides/train-an-xgboost-model-with-gpus-using-snowflake-notebooks
https://quickstarts.snowflake.com/guide/tidymodel-prediction-workflows-inside-snowflake-with-orbital/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/tidymodel-prediction-workflows-inside-snowflake-with-orbital
https://quickstarts.snowflake.com/guide/tidymodel-prediction-workflows-inside-snowflake-with-orbital/index.html,200,www.snowflake.com/en/developers/guides/tidymodel-prediction-workflows-inside-snowflake-with-orbital
https://quickstarts.snowflake.com/guide/text_embedding_as_snowpark_python_udf/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/text-embedding-as-snowpark-python-udf
https://quickstarts.snowflake.com/guide/text_embedding_as_snowpark_python_udf/index.html,200,www.snowflake.com/en/developers/guides/text-embedding-as-snowpark-python-udf
https://quickstarts.snowflake.com/guide/text_embedding_as_snowpark_python_udf/#0,200,www.snowflake.com/en/developers/guides/text-embedding-as-snowpark-python-udf
https://quickstarts.snowflake.com/guide/terraforming_snowflake/index.html?ref=sfeir.dev,200,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/terraforming_snowflake/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/terraforming_snowflake/index.html?index=../..index,200,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/terraforming_snowflake/index.html,200,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/terraforming_snowflake/#0,200,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/terraforming_snowflake/?ref=adventofdata.com,200,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/terraforming_snowflake,301,www.snowflake.com/en/developers/guides/terraforming-snowflake
https://quickstarts.snowflake.com/guide/tealium-snowflake-integration/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/tealium-snowflake-integration
https://quickstarts.snowflake.com/guide/tealium-snowflake-integration/index.html,200,www.snowflake.com/en/developers/guides/tealium-snowflake-integration
https://quickstarts.snowflake.com/guide/tealium-snowflake-integration/#0,200,www.snowflake.com/en/developers/guides/tealium-snowflake-integration
https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation/index.html?index=..%2F..index,200,www.snowflake.com/en/developers/guides/tasty-bytes-zero-to-snowflake-transformation
