file,old_url,new_url,kind,count
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-snowpark-101-for-data-science-it/tasty-bytes-snowpark-101-for-data-science-it.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_it,/it/developers/guides/tasty-bytes-introduction-it/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-transformation-kr/tasty-bytes-zero-to-snowflake-transformation-kr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_kr,/en/developers/guides/tasty-bytes-introduction-kr/,link_replacement,2
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-ptbr/tasty-bytes-introduction-ptbr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_ptbr,/pt_br/developers/guides/tasty-bytes-introduction-ptbr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-ptbr/tasty-bytes-introduction-ptbr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_ptbr,/en/developers/guides/tasty-bytes-zero-to-snowflake-transformation-ptbr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-ptbr/tasty-bytes-introduction-ptbr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_ptbr,/en/developers/guides/tasty-bytes-zero-to-snowflake-semi-structured-data-ptbr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-introduction-ptbr/tasty-bytes-introduction-ptbr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_collaboration_ptbr,/pt_br/developers/guides/tasty-bytes-zero-to-snowflake-collaboration-ptbr/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-semi-structured-data-kr/tasty-bytes-zero-to-snowflake-semi-structured-data-kr.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_kr,/en/developers/guides/tasty-bytes-introduction-kr/,link_replacement,2
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/getting-started-with-snowpark-in-snowflake-python-worksheets-it/getting-started-with-snowpark-in-snowflake-python-worksheets-it.md,https://quickstarts.snowflake.com/guide/getting_started_with_dataengineering_ml_using_snowpark_python_it,/en/developers/guides/getting-started-with-dataengineering-ml-using-snowpark-python-it/,link_replacement,1
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-collaboration-it/tasty-bytes-zero-to-snowflake-collaboration-it.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_it,/it/developers/guides/tasty-bytes-introduction-it/,link_replacement,2
/Users/mnixon/Documents/projects/quickstarts/sfquickstarts/site/sfguides/src/tasty-bytes-zero-to-snowflake-semi-structured-data-es/tasty-bytes-zero-to-snowflake-semi-structured-data-es.md,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_es,/es/developers/guides/tasty-bytes-introduction-es/,link_replacement,2
