SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage,MigrationID
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/inventory.sql,9,31,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__Inventory__Quant__59FA5E80' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/inventory.sql,8,44,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/employeeshift.sql,6,32,TastyBytesDB,TastyBytes,N/A,EmployeeShift,TastyBytesDB.TastyBytes.EmployeeShift,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/employeeshift.sql,6,32,TastyBytesDB,TastyBytes,N/A,EmployeeShift,TastyBytesDB.TastyBytes.EmployeeShift,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/inventory.sql,7,34,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/inventory.sql,7,34,TastyBytesDB,TastyBytes,N/A,Inventory,TastyBytesDB.TastyBytes.Inventory,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__OrderHead__Creat__5535A963' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/orderheader.sql,15,33,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/orderheader.sql,14,30,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/orderheader.sql,14,30,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/orderheader.sql,13,31,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/orderheader.sql,13,31,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__OrderHead__TipAm__5441852A' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/orderheader.sql,12,26,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__OrderHead__Total__534D60F1' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/orderheader.sql,11,32,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-0012,Constraint Name in some constraints is not Supported,CONSTRAINT NAME 'DF__OrderHead__Order__52593CB8' IN DEFAULT EXPRESSION CONSTRAINT IS NOT SUPPORTED IN SNOWFLAKE,tastybytesdb/tastybytes/table/orderheader.sql,10,75,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-FDM-TS0002,Some Collate Specifier Value Is Not Supported,COLLATION FOR VALUE CP1 NOT SUPPORTED,tastybytesdb/tastybytes/table/orderheader.sql,10,29,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,None,SSC-PRF-0002,Case insensitive columns can decrease performance of queries,CASE INSENSITIVE COLUMNS CAN DECREASE THE PERFORMANCE OF QUERIES,tastybytesdb/tastybytes/table/orderheader.sql,10,29,TastyBytesDB,TastyBytes,N/A,OrderHeader,TastyBytesDB.TastyBytes.OrderHeader,CREATE TABLE,XS,Transact,JmWeAWK07nK+5zZKD9nimA==
