archived_id,found_path,action,note
"compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery","/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery",moved,"target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery"
"compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery","/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery/compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery.md",failed,"[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery/compare_google,_bing,_facebook,_linkedin,_and_x_ads_campaigns_with_snowflake_and_rivery.md'"
kepler_gl_maps_inside_snowflake,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/kepler_gl_maps_inside_snowflake,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/kepler_gl_maps_inside_snowflake
kepler_gl_maps_inside_snowflake,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/kepler_gl_maps_inside_snowflake/kepler_gl_maps_inside_snowflake.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/kepler_gl_maps_inside_snowflake/kepler_gl_maps_inside_snowflake.md'
autogen_faqs_for_customer_support_snowflake_cortex,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/autogen_faqs_for_customer_support_snowflake_cortex,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/autogen_faqs_for_customer_support_snowflake_cortex
autogen_faqs_for_customer_support_snowflake_cortex,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/autogen_faqs_for_customer_support_snowflake_cortex/autogen_faqs_for_customer_support_snowflake_cortex.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/autogen_faqs_for_customer_support_snowflake_cortex/autogen_faqs_for_customer_support_snowflake_cortex.md'
setting-up-leads-notifications-in-slack,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/setting-up-leads-notifications-in-slack,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/setting-up-leads-notifications-in-slack
setting-up-leads-notifications-in-slack,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/setting-up-leads-notifications-in-slack/setting-up-leads-notifications-in-slack.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/setting-up-leads-notifications-in-slack/setting-up-leads-notifications-in-slack.md'
getting_started_with_snowflake_arctic,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_with_snowflake_arctic,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/getting_started_with_snowflake_arctic
getting_started_with_snowflake_arctic,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_with_snowflake_arctic/getting_started_with_snowflake_arctic.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_with_snowflake_arctic/getting_started_with_snowflake_arctic.md'
